Time,x_d,y_d,theta_d,v_,delta_
11.8598832,1.5281754,-3.3853096,-2.2672399,0.6462411,-0.0287957
11.9099249,1.5073552,-3.4101296,-2.2703098,0.6490433,-0.0280499
11.9599666,1.4863694,-3.4349932,-2.273313,0.651812,-0.0273207
12.0100083,1.4652204,-3.4598997,-2.2762503,0.6545467,-0.0266077
12.06005,1.4439104,-3.4848486,-2.2791228,0.6572468,-0.0259104
12.1100917,1.4224418,-3.5098391,-2.2819312,0.6599117,-0.0252282
12.1601334,1.4008169,-3.5348705,-2.2846766,0.6625408,-0.0245608
12.2101751,1.3790382,-3.5599421,-2.2873597,0.6651337,-0.0239075
12.2602168,1.357108,-3.5850533,-2.2899813,0.6676898,-0.0232681
12.3102585,1.3350287,-3.6102034,-2.2925424,0.6702085,-0.0226419
12.3603003,1.3128028,-3.6353916,-2.2950437,0.6726894,-0.0220287
12.410342,1.2904327,-3.6606172,-2.2974859,0.675132,-0.0214279
12.4603837,1.2679208,-3.6858797,-2.2998698,0.6775358,-0.0208392
12.5104254,1.2452696,-3.7111782,-2.3021961,0.6799003,-0.0202622
12.5604671,1.2224817,-3.7365122,-2.3044656,0.682225,-0.0196965
12.6105088,1.1995595,-3.7618808,-2.306679,0.6845096,-0.0191417
12.6605505,1.1765055,-3.7872835,-2.3088368,0.6867535,-0.0185975
12.7105922,1.1533223,-3.8127194,-2.3109398,0.6889563,-0.0180635
12.7606339,1.1300124,-3.8381879,-2.3129886,0.6911177,-0.0175393
12.8106756,1.1065784,-3.8636884,-2.3149837,0.6932371,-0.0170247
12.8607173,1.0830228,-3.88922,-2.3169259,0.6953143,-0.0165193
12.910759,1.0593483,-3.9147822,-2.3188157,0.6973487,-0.0160228
12.9608007,1.0355574,-3.9403742,-2.3206535,0.6993401,-0.0155348
13.0108424,1.0116527,-3.9659952,-2.3224401,0.7012881,-0.0150551
13.0608841,0.987637,-3.9916447,-2.3241758,0.7031922,-0.0145834
13.1109258,0.9635127,-4.0173218,-2.3258613,0.7050522,-0.0141194
13.1609675,0.9392826,-4.0430259,-2.327497,0.7068676,-0.0136628
13.2110092,0.9149493,-4.0687563,-2.3290833,0.7086383,-0.0132134
13.2610509,0.8905156,-4.0945123,-2.3306208,0.7103638,-0.0127709
